evidence_status,amplitude_m,speed_m_s,regen_limit_w,spacing_m,offset_fraction,reference_battery_wh,coarse_battery_wh,signed_difference_wh,signed_difference_pct,grade_rmse_percentage_points,reference_peak_wheel_w,coarse_peak_wheel_w,reference_gravity_wh,coarse_gravity_wh,reference_recovered_wh,coarse_recovered_wh,reference_road_length_m,coarse_road_length_m,reference_duration_s,coarse_duration_s,reference_balance_residual_wh,coarse_balance_residual_wh
synthetic,0.000000000,8.000000000,5000.000000000,5.000000000,0.500000000,103.659394582,103.659394582,-0.000000000,-0.000000000,0.000000000,1969.014935451,1969.014935451,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,150.001874988,150.001874988,-0.000000000,-0.000000000
synthetic,0.000000000,8.000000000,5000.000000000,5.000000000,0.750000000,103.659394582,103.659394582,-0.000000000,-0.000000000,0.000000000,1969.014935451,1969.014935451,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,150.001874988,150.001874988,-0.000000000,-0.000000000
synthetic,0.000000000,8.000000000,5000.000000000,10.000000000,0.000000000,103.659394582,103.659394582,-0.000000000,-0.000000000,0.000000000,1969.014935451,1969.014935451,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,150.001874988,150.001874988,-0.000000000,-0.000000000
synthetic,0.000000000,8.000000000,5000.000000000,10.000000000,0.250000000,103.659394582,103.659394582,-0.000000000,-0.000000000,0.000000000,1969.014935451,1969.014935451,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,150.001874988,150.001874988,-0.000000000,-0.000000000
synthetic,0.000000000,8.000000000,5000.000000000,10.000000000,0.500000000,103.659394582,103.659394582,-0.000000000,-0.000000000,0.000000000,1969.014935451,1969.014935451,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,150.001874988,150.001874988,-0.000000000,-0.000000000
synthetic,0.000000000,8.000000000,5000.000000000,10.000000000,0.750000000,103.659394582,103.659394582,-0.000000000,-0.000000000,0.000000000,1969.014935451,1969.014935451,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,150.001874988,150.001874988,-0.000000000,-0.000000000
synthetic,0.000000000,8.000000000,5000.000000000,30.000000000,0.000000000,103.659394582,103.659394582,-0.000000000,-0.000000000,0.000000000,1969.014935451,1969.014935451,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,150.001874988,150.001874988,-0.000000000,0.000000000
synthetic,0.000000000,8.000000000,5000.000000000,30.000000000,0.250000000,103.659394582,103.659394582,-0.000000000,-0.000000000,0.000000000,1969.014935451,1969.014935451,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,150.001874988,150.001874988,-0.000000000,0.000000000
synthetic,0.000000000,8.000000000,5000.000000000,30.000000000,0.500000000,103.659394582,103.659394582,-0.000000000,-0.000000000,0.000000000,1969.014935451,1969.014935451,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,150.001874988,150.001874988,-0.000000000,0.000000000
synthetic,0.000000000,8.000000000,5000.000000000,30.000000000,0.750000000,103.659394582,103.659394582,-0.000000000,-0.000000000,0.000000000,1969.014935451,1969.014935451,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,150.001874988,150.001874988,-0.000000000,0.000000000
synthetic,0.000000000,8.000000000,20000.000000000,5.000000000,0.000000000,103.659394582,103.659394582,-0.000000000,-0.000000000,0.000000000,1969.014935451,1969.014935451,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,150.001874988,150.001874988,-0.000000000,-0.000000000
synthetic,0.000000000,8.000000000,20000.000000000,5.000000000,0.250000000,103.659394582,103.659394582,-0.000000000,-0.000000000,0.000000000,1969.014935451,1969.014935451,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,150.001874988,150.001874988,-0.000000000,-0.000000000
synthetic,0.000000000,8.000000000,20000.000000000,5.000000000,0.500000000,103.659394582,103.659394582,-0.000000000,-0.000000000,0.000000000,1969.014935451,1969.014935451,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,150.001874988,150.001874988,-0.000000000,-0.000000000
synthetic,0.000000000,8.000000000,20000.000000000,5.000000000,0.750000000,103.659394582,103.659394582,-0.000000000,-0.000000000,0.000000000,1969.014935451,1969.014935451,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,150.001874988,150.001874988,-0.000000000,-0.000000000
synthetic,0.000000000,8.000000000,20000.000000000,10.000000000,0.000000000,103.659394582,103.659394582,-0.000000000,-0.000000000,0.000000000,1969.014935451,1969.014935451,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,150.001874988,150.001874988,-0.000000000,-0.000000000
synthetic,0.000000000,8.000000000,20000.000000000,10.000000000,0.250000000,103.659394582,103.659394582,-0.000000000,-0.000000000,0.000000000,1969.014935451,1969.014935451,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,150.001874988,150.001874988,-0.000000000,-0.000000000
synthetic,0.000000000,8.000000000,20000.000000000,10.000000000,0.500000000,103.659394582,103.659394582,-0.000000000,-0.000000000,0.000000000,1969.014935451,1969.014935451,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,150.001874988,150.001874988,-0.000000000,-0.000000000
synthetic,0.000000000,8.000000000,20000.000000000,10.000000000,0.750000000,103.659394582,103.659394582,-0.000000000,-0.000000000,0.000000000,1969.014935451,1969.014935451,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,150.001874988,150.001874988,-0.000000000,-0.000000000
synthetic,0.000000000,8.000000000,20000.000000000,30.000000000,0.000000000,103.659394582,103.659394582,-0.000000000,-0.000000000,0.000000000,1969.014935451,1969.014935451,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,150.001874988,150.001874988,-0.000000000,0.000000000
synthetic,0.000000000,8.000000000,20000.000000000,30.000000000,0.250000000,103.659394582,103.659394582,-0.000000000,-0.000000000,0.000000000,1969.014935451,1969.014935451,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,150.001874988,150.001874988,-0.000000000,0.000000000
synthetic,0.000000000,8.000000000,20000.000000000,30.000000000,0.500000000,103.659394582,103.659394582,-0.000000000,-0.000000000,0.000000000,1969.014935451,1969.014935451,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,150.001874988,150.001874988,-0.000000000,0.000000000
synthetic,0.000000000,8.000000000,20000.000000000,30.000000000,0.750000000,103.659394582,103.659394582,-0.000000000,-0.000000000,0.000000000,1969.014935451,1969.014935451,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,150.001874988,150.001874988,-0.000000000,0.000000000
synthetic,0.000000000,15.000000000,0.000000000,5.000000000,0.000000000,121.566331377,121.566331377,0.000000000,0.000000000,0.000000000,4653.374878971,4653.374878971,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,80.000999994,80.000999994,-0.000000000,-0.000000000
synthetic,0.000000000,15.000000000,0.000000000,5.000000000,0.250000000,121.566331377,121.566331377,0.000000000,0.000000000,0.000000000,4653.374878971,4653.374878971,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,80.000999994,80.000999994,-0.000000000,-0.000000000
synthetic,0.000000000,15.000000000,0.000000000,5.000000000,0.500000000,121.566331377,121.566331377,0.000000000,0.000000000,0.000000000,4653.374878971,4653.374878971,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,80.000999994,80.000999994,-0.000000000,-0.000000000
synthetic,0.000000000,15.000000000,0.000000000,5.000000000,0.750000000,121.566331377,121.566331377,0.000000000,0.000000000,0.000000000,4653.374878971,4653.374878971,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,80.000999994,80.000999994,-0.000000000,-0.000000000
synthetic,0.000000000,15.000000000,0.000000000,10.000000000,0.000000000,121.566331377,121.566331377,0.000000000,0.000000000,0.000000000,4653.374878971,4653.374878971,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,80.000999994,80.000999994,-0.000000000,-0.000000000
synthetic,0.000000000,15.000000000,0.000000000,10.000000000,0.250000000,121.566331377,121.566331377,0.000000000,0.000000000,0.000000000,4653.374878971,4653.374878971,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,80.000999994,80.000999994,-0.000000000,-0.000000000
synthetic,0.000000000,15.000000000,0.000000000,10.000000000,0.500000000,121.566331377,121.566331377,0.000000000,0.000000000,0.000000000,4653.374878971,4653.374878971,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,80.000999994,80.000999994,-0.000000000,-0.000000000
synthetic,0.000000000,15.000000000,0.000000000,10.000000000,0.750000000,121.566331377,121.566331377,0.000000000,0.000000000,0.000000000,4653.374878971,4653.374878971,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,80.000999994,80.000999994,-0.000000000,-0.000000000
synthetic,0.000000000,15.000000000,0.000000000,30.000000000,0.000000000,121.566331377,121.566331377,0.000000000,0.000000000,0.000000000,4653.374878971,4653.374878971,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,80.000999994,80.000999994,-0.000000000,-0.000000000
synthetic,0.000000000,15.000000000,0.000000000,30.000000000,0.250000000,121.566331377,121.566331377,0.000000000,0.000000000,0.000000000,4653.374878971,4653.374878971,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,80.000999994,80.000999994,-0.000000000,-0.000000000
synthetic,0.000000000,15.000000000,0.000000000,30.000000000,0.500000000,121.566331377,121.566331377,0.000000000,0.000000000,0.000000000,4653.374878971,4653.374878971,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,80.000999994,80.000999994,-0.000000000,-0.000000000
synthetic,0.000000000,15.000000000,0.000000000,30.000000000,0.750000000,121.566331377,121.566331377,0.000000000,0.000000000,0.000000000,4653.374878971,4653.374878971,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,80.000999994,80.000999994,-0.000000000,-0.000000000
synthetic,0.000000000,15.000000000,5000.000000000,5.000000000,0.000000000,121.566331377,121.566331377,0.000000000,0.000000000,0.000000000,4653.374878971,4653.374878971,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,80.000999994,80.000999994,-0.000000000,-0.000000000
synthetic,0.000000000,15.000000000,5000.000000000,5.000000000,0.250000000,121.566331377,121.566331377,0.000000000,0.000000000,0.000000000,4653.374878971,4653.374878971,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,80.000999994,80.000999994,-0.000000000,-0.000000000
synthetic,0.000000000,15.000000000,5000.000000000,5.000000000,0.500000000,121.566331377,121.566331377,0.000000000,0.000000000,0.000000000,4653.374878971,4653.374878971,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,80.000999994,80.000999994,-0.000000000,-0.000000000
synthetic,0.000000000,15.000000000,5000.000000000,5.000000000,0.750000000,121.566331377,121.566331377,0.000000000,0.000000000,0.000000000,4653.374878971,4653.374878971,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,80.000999994,80.000999994,-0.000000000,-0.000000000
synthetic,0.000000000,15.000000000,5000.000000000,10.000000000,0.000000000,121.566331377,121.566331377,0.000000000,0.000000000,0.000000000,4653.374878971,4653.374878971,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,80.000999994,80.000999994,-0.000000000,-0.000000000
synthetic,0.000000000,15.000000000,5000.000000000,10.000000000,0.250000000,121.566331377,121.566331377,0.000000000,0.000000000,0.000000000,4653.374878971,4653.374878971,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,80.000999994,80.000999994,-0.000000000,-0.000000000
synthetic,0.000000000,15.000000000,5000.000000000,10.000000000,0.500000000,121.566331377,121.566331377,0.000000000,0.000000000,0.000000000,4653.374878971,4653.374878971,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,80.000999994,80.000999994,-0.000000000,-0.000000000
synthetic,0.000000000,15.000000000,5000.000000000,10.000000000,0.750000000,121.566331377,121.566331377,0.000000000,0.000000000,0.000000000,4653.374878971,4653.374878971,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,80.000999994,80.000999994,-0.000000000,-0.000000000
synthetic,0.000000000,15.000000000,5000.000000000,30.000000000,0.000000000,121.566331377,121.566331377,0.000000000,0.000000000,0.000000000,4653.374878971,4653.374878971,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,80.000999994,80.000999994,-0.000000000,-0.000000000
synthetic,0.000000000,15.000000000,5000.000000000,30.000000000,0.250000000,121.566331377,121.566331377,0.000000000,0.000000000,0.000000000,4653.374878971,4653.374878971,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,80.000999994,80.000999994,-0.000000000,-0.000000000
synthetic,0.000000000,15.000000000,5000.000000000,30.000000000,0.500000000,121.566331377,121.566331377,0.000000000,0.000000000,0.000000000,4653.374878971,4653.374878971,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,80.000999994,80.000999994,-0.000000000,-0.000000000
synthetic,0.000000000,15.000000000,5000.000000000,30.000000000,0.750000000,121.566331377,121.566331377,0.000000000,0.000000000,0.000000000,4653.374878971,4653.374878971,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,80.000999994,80.000999994,-0.000000000,-0.000000000
synthetic,0.000000000,15.000000000,20000.000000000,5.000000000,0.000000000,121.566331377,121.566331377,0.000000000,0.000000000,0.000000000,4653.374878971,4653.374878971,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,80.000999994,80.000999994,-0.000000000,-0.000000000
synthetic,0.000000000,15.000000000,20000.000000000,5.000000000,0.250000000,121.566331377,121.566331377,0.000000000,0.000000000,0.000000000,4653.374878971,4653.374878971,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,80.000999994,80.000999994,-0.000000000,-0.000000000
synthetic,0.000000000,15.000000000,20000.000000000,5.000000000,0.500000000,121.566331377,121.566331377,0.000000000,0.000000000,0.000000000,4653.374878971,4653.374878971,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,80.000999994,80.000999994,-0.000000000,-0.000000000
synthetic,0.000000000,15.000000000,20000.000000000,5.000000000,0.750000000,121.566331377,121.566331377,0.000000000,0.000000000,0.000000000,4653.374878971,4653.374878971,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,80.000999994,80.000999994,-0.000000000,-0.000000000
synthetic,0.000000000,15.000000000,20000.000000000,10.000000000,0.000000000,121.566331377,121.566331377,0.000000000,0.000000000,0.000000000,4653.374878971,4653.374878971,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,80.000999994,80.000999994,-0.000000000,-0.000000000
synthetic,0.000000000,15.000000000,20000.000000000,10.000000000,0.250000000,121.566331377,121.566331377,0.000000000,0.000000000,0.000000000,4653.374878971,4653.374878971,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,80.000999994,80.000999994,-0.000000000,-0.000000000
synthetic,0.000000000,15.000000000,20000.000000000,10.000000000,0.500000000,121.566331377,121.566331377,0.000000000,0.000000000,0.000000000,4653.374878971,4653.374878971,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,80.000999994,80.000999994,-0.000000000,-0.000000000
synthetic,0.000000000,15.000000000,20000.000000000,10.000000000,0.750000000,121.566331377,121.566331377,0.000000000,0.000000000,0.000000000,4653.374878971,4653.374878971,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,80.000999994,80.000999994,-0.000000000,-0.000000000
synthetic,0.000000000,15.000000000,20000.000000000,30.000000000,0.000000000,121.566331377,121.566331377,0.000000000,0.000000000,0.000000000,4653.374878971,4653.374878971,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,80.000999994,80.000999994,-0.000000000,-0.000000000
synthetic,0.000000000,15.000000000,20000.000000000,30.000000000,0.250000000,121.566331377,121.566331377,0.000000000,0.000000000,0.000000000,4653.374878971,4653.374878971,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,80.000999994,80.000999994,-0.000000000,-0.000000000
synthetic,0.000000000,15.000000000,20000.000000000,30.000000000,0.500000000,121.566331377,121.566331377,0.000000000,0.000000000,0.000000000,4653.374878971,4653.374878971,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,80.000999994,80.000999994,-0.000000000,-0.000000000
synthetic,0.000000000,15.000000000,20000.000000000,30.000000000,0.750000000,121.566331377,121.566331377,0.000000000,0.000000000,0.000000000,4653.374878971,4653.374878971,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,80.000999994,80.000999994,-0.000000000,-0.000000000
synthetic,0.000000000,25.000000000,0.000000000,5.000000000,0.000000000,177.881850123,177.881850123,-0.000000000,-0.000000000,0.000000000,11736.874798285,11736.874798285,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,48.000599996,48.000599996,-0.000000000,0.000000000
synthetic,0.000000000,25.000000000,0.000000000,5.000000000,0.250000000,177.881850123,177.881850123,-0.000000000,-0.000000000,0.000000000,11736.874798285,11736.874798285,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,48.000599996,48.000599996,-0.000000000,0.000000000
synthetic,0.000000000,25.000000000,0.000000000,5.000000000,0.500000000,177.881850123,177.881850123,-0.000000000,-0.000000000,0.000000000,11736.874798285,11736.874798285,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,48.000599996,48.000599996,-0.000000000,0.000000000
synthetic,0.000000000,25.000000000,0.000000000,5.000000000,0.750000000,177.881850123,177.881850123,-0.000000000,-0.000000000,0.000000000,11736.874798285,11736.874798285,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,48.000599996,48.000599996,-0.000000000,0.000000000
synthetic,0.000000000,25.000000000,0.000000000,10.000000000,0.000000000,177.881850123,177.881850123,-0.000000000,-0.000000000,0.000000000,11736.874798285,11736.874798285,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,48.000599996,48.000599996,-0.000000000,0.000000000
synthetic,0.000000000,25.000000000,0.000000000,10.000000000,0.250000000,177.881850123,177.881850123,-0.000000000,-0.000000000,0.000000000,11736.874798285,11736.874798285,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,48.000599996,48.000599996,-0.000000000,0.000000000
synthetic,0.000000000,25.000000000,0.000000000,10.000000000,0.500000000,177.881850123,177.881850123,-0.000000000,-0.000000000,0.000000000,11736.874798285,11736.874798285,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,48.000599996,48.000599996,-0.000000000,0.000000000
synthetic,0.000000000,25.000000000,0.000000000,10.000000000,0.750000000,177.881850123,177.881850123,-0.000000000,-0.000000000,0.000000000,11736.874798285,11736.874798285,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,48.000599996,48.000599996,-0.000000000,0.000000000
synthetic,0.000000000,25.000000000,0.000000000,30.000000000,0.000000000,177.881850123,177.881850123,-0.000000000,-0.000000000,0.000000000,11736.874798285,11736.874798285,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,48.000599996,48.000599996,-0.000000000,0.000000000
synthetic,0.000000000,25.000000000,0.000000000,30.000000000,0.250000000,177.881850123,177.881850123,-0.000000000,-0.000000000,0.000000000,11736.874798285,11736.874798285,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,48.000599996,48.000599996,-0.000000000,0.000000000
synthetic,0.000000000,25.000000000,0.000000000,30.000000000,0.500000000,177.881850123,177.881850123,-0.000000000,-0.000000000,0.000000000,11736.874798285,11736.874798285,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,48.000599996,48.000599996,-0.000000000,0.000000000
synthetic,0.000000000,25.000000000,0.000000000,30.000000000,0.750000000,177.881850123,177.881850123,-0.000000000,-0.000000000,0.000000000,11736.874798285,11736.874798285,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,48.000599996,48.000599996,-0.000000000,0.000000000
synthetic,0.000000000,25.000000000,5000.000000000,5.000000000,0.000000000,177.881850123,177.881850123,-0.000000000,-0.000000000,0.000000000,11736.874798285,11736.874798285,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,48.000599996,48.000599996,-0.000000000,0.000000000
synthetic,0.000000000,25.000000000,5000.000000000,5.000000000,0.250000000,177.881850123,177.881850123,-0.000000000,-0.000000000,0.000000000,11736.874798285,11736.874798285,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,48.000599996,48.000599996,-0.000000000,0.000000000
synthetic,0.000000000,25.000000000,5000.000000000,5.000000000,0.500000000,177.881850123,177.881850123,-0.000000000,-0.000000000,0.000000000,11736.874798285,11736.874798285,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,48.000599996,48.000599996,-0.000000000,0.000000000
synthetic,0.000000000,25.000000000,5000.000000000,5.000000000,0.750000000,177.881850123,177.881850123,-0.000000000,-0.000000000,0.000000000,11736.874798285,11736.874798285,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,48.000599996,48.000599996,-0.000000000,0.000000000
synthetic,0.000000000,25.000000000,5000.000000000,10.000000000,0.000000000,177.881850123,177.881850123,-0.000000000,-0.000000000,0.000000000,11736.874798285,11736.874798285,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,48.000599996,48.000599996,-0.000000000,0.000000000
synthetic,0.000000000,25.000000000,5000.000000000,10.000000000,0.250000000,177.881850123,177.881850123,-0.000000000,-0.000000000,0.000000000,11736.874798285,11736.874798285,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,48.000599996,48.000599996,-0.000000000,0.000000000
synthetic,0.000000000,25.000000000,5000.000000000,10.000000000,0.500000000,177.881850123,177.881850123,-0.000000000,-0.000000000,0.000000000,11736.874798285,11736.874798285,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,48.000599996,48.000599996,-0.000000000,0.000000000
synthetic,0.000000000,25.000000000,5000.000000000,10.000000000,0.750000000,177.881850123,177.881850123,-0.000000000,-0.000000000,0.000000000,11736.874798285,11736.874798285,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,48.000599996,48.000599996,-0.000000000,0.000000000
synthetic,0.000000000,25.000000000,5000.000000000,30.000000000,0.000000000,177.881850123,177.881850123,-0.000000000,-0.000000000,0.000000000,11736.874798285,11736.874798285,24.516625000,24.516625000,0.000000000,0.000000000,1200.014999906,1200.014999906,48.000599996,48.000599996,-0.000000000,0.000000000
